"","baseWidth"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 003",16.9125317966987
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 004",21.4549782510017
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 007",18.2621329358524
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 008",18.0982754640738
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 009",19.2891385635939
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 010",19.5245231486724
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 011",22.1368558426136
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 001",20.1336867751223
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 002",18.3314001222955
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 003",17.5823238056101
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 004",22.3537810583452
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 005",20.9678734835497
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 006",15.9618191352364
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 007",17.8634494538903
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 008",15.4722155397598
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 009",16.5235586898477
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 010",18.5644124902126
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 011",17.4261964960844
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 012",17.9699189934521
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 013",16.4558126525059
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 014",14.9840535996068
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 015",17.3589624576129
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN3 07-08 001",15.216626565568
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN9 07-08 002",15.872894659847
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 001",8.63614136153988
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 004",11.8800656739189
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 006",12.4388186532703
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 008",10.6871572807786
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 012",10.9275881480342
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 013",14.0693032534738
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 017",11.4253988667808
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 019",14.6534174920013
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 021",10.565740389711
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 026",11.9743198790249
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 029",11.729540087286
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-18 001",13.1128932150504
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 001",23.6515765768364
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 003",14.5176675567447
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 004",17.7452086215657
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 005",21.1443066410692
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 007",15.1457667770953
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 008",18.9996829151413
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 009",15.3929501913883
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 011",15.9133142762034
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 012",13.6985645614099
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 013",17.4195722764434
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 015",16.362919190327
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 001",16.1630744734856
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 002",10.8122463765089
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 003",15.1415966870446
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 004",10.7163060004489
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 005",13.7889563501975
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 012",10.0339097149721
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 014",11.3433876694576
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7  06-29 011",16.852165867137
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 001",20.8756557765798
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 003",16.2538948276337
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 005",17.1905503015092
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 006",14.9700592351007
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 007",16.5246459037142
