Lake,DOC,DOC_bin,pecL_var,pecW_var
Bay,7.4,0-10,7.05,4.1
Birch,10.9,10-15.00,4.92,6.09
Crampton,5,0-10,14.8,3.1
Found,6.21,0-10,69.6,17.1
Hummingbird,24.5,15-25,14.7,4.37
Little_Crooked,4.07,0-10,52.3,6.91
Lost,4.02,0-10,10.9,6.46
McCullough,14.3,10-15.00,6.28,2.95
Muskellunge,6.66,0-10,4.31,7.91
Oxbow,11.12,10-15.00,27.9,12.6
Papoose,6.49,0-10,14.2,1.84
Red_Bass,18.9,15-25,3.84,5.68
Squaw,23.85,15-25,3.69,2.76
Towanda,5.29,0-10,14.7,6.14
