Lake,DOC,DOC_bin,angle_var
Bay,7.4,0-10,134
Birch,10.9,10-15.00,74.7
Crampton,5,0-10,101
Found,6.21,0-10,69.1
Hummingbird,24.5,15-25,83.5
Little_Crooked,4.07,0-10,116
Lost,4.02,0-10,67.2
McCullough,14.3,10-15.00,56.4
Muskellunge,6.66,0-10,62.8
Oxbow,11.12,10-15.00,97.7
Papoose,6.49,0-10,70.6
Red_Bass,18.9,15-25,83.2
Squaw,23.85,15-25,93
Towanda,5.29,0-10,54
