"","PecFinLengths"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 003",46.4525221869233
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 004",46.2076420482483
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 007",37.4541678054608
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 008",43.7196303875687
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 009",43.7482235003924
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 010",41.3349034566553
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-10 011",40.1624459945256
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 001",43.4029097171092
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 002",37.0259423749076
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 003",37.9258853820124
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 004",42.9364008644483
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 005",41.1863499469385
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 006",38.0932465600493
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 007",40.6212905242753
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 008",39.1735681232217
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 009",39.5977885994017
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 010",41.9670214159913
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 011",40.1252203327095
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 012",34.0396002849876
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 013",38.4123914711976
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 014",34.056756629447
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 015",36.7967595629307
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN3 07-08 001",39.7296623653585
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN9 07-08 002",32.9846733180621
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 001",21.6852558500257
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 004",28.9543175447772
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 006",29.2177022771203
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 008",36.5945507275258
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 012",28.5756687181548
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 013",29.9294431493541
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 017",28.9129045801694
