"fishID","imageFile","pecFinBaseWidth","pecFinLength","lakeID","DOC","stdLength","finLengthSS","finBaseSS","finRatioSS"
"BH_FN3_20180628_1305_FN_blgMorphologyDOC.20180626_3","BH FN3 06-28 003.jpg",5.582737456,34.0982224177449,"Birch",10.9,117.739526908723,34.6741174395416,5.68890777180524,6.09503947513262
"BH_FN3_20180628_1305_FN_blgMorphologyDOC.20180626_4","BH FN3 06-28 004.jpg",5.081645132,29.5872634925909,"Birch",10.9,107.027643894136,32.371900118566,5.6226910275093,5.7573677728662
"BH_FN4_20180628_1225_FN_blgMorphologyDOC.20180626_2","BH FN4 06-28 002.jpg",5.744985231,32.8336584010981,"Birch",10.9,113.998995207502,34.2257192700462,6.01968020092589,5.68563746372804
"BH_FN4_20180628_1225_FN_blgMorphologyDOC.20180626_3","BH FN4 06-28 003.jpg",6.829741347,37.2533578074514,"Birch",10.9,122.497429400988,36.7482423892491,6.72566566760587,5.46388182306575
"BH_FN4_20180628_1225_FN_blgMorphologyDOC.20180626_4","BH FN4 06-28 004.jpg",5.841960199,30.8778501701462,"Birch",10.9,110.995680783083,32.8532310504776,6.26399744500898,5.24477082548211
"BH_WholeShoreline_20180606_2300_BE_blgMorphologyDOC.20180626_1","BH shock 06-06 003.jpg",7.841423076,41.6108760918344,"Birch",10.9,141.387006339656,36.7691565150518,6.8228392462578,5.38912836547029
"BH_WholeShoreline_20180607_0005_BE_blgMorphologyDOC.20180626_5","BH shock 06-06 007.jpg",8.525814385,39.5383331484776,"Birch",10.9,144.712898486382,34.3199274770545,7.27093058850721,4.72015611472103
"CR_FN1_20180715_1100_FN_blgMorphologyDOC.20180626_2","CR FN1 07-15 002.jpg",6.380718888,34.1424193719484,"Crampton",5,124.827730333047,33.1959521698098,6.18210410003135,5.36968508337501
"CR_FN1_20180715_1100_FN_blgMorphologyDOC.20180626_8","CR FN1 07-15 008.jpg",4.722722642,27.5080603725526,"Crampton",5,102.729921772481,31.0586058448358,5.41372260013888,5.73701464571513
"CR_FN1_20180715_1100_FN_blgMorphologyDOC.20180626_9","CR FN1 07-15 009.jpg",5.656267164,28.1270431328997,"Crampton",5,107.226411933488,30.7304634778831,6.24847800749546,4.91807179940778
