"fishID","eyeWidth","stdLength","lakeID","DOC","basin","eyewidth.ss"
"BA AN 001 07-13.jpg",10.96907256,156.572298526272,"Bay",7.4,4,8.79628248568514
"BA AN 002 07-13.jpg",10.76528553,152.851361344935,"Bay",7.4,4,8.76396269774945
"BA AN 003 07-13.jpg",10.39375431,118.472150846433,"Bay",7.4,4,9.92630809190276
"BA AN 004 07-13.jpg",9.708220166,120.08622474289,"Bay",7.4,4,9.19331562250904
"BA AN 005 07-13.jpg",10.61727328,138.652594745609,"Bay",7.4,4,9.18800019578375
"BA AN 006 07-13.jpg",9.797888765,143.963665305173,"Bay",7.4,4,8.2815297672359
"BA AN 007 07-13.jpg",11.23920719,153.849120203984,"Bay",7.4,4,9.11255003187914
"BA AN 008 07-13.jpg",9.353907734,125.58363871321,"Bay",7.4,4,8.6127870382589
"BA AN 009 07-13.jpg",11.44177549,164.198882914501,"Bay",7.4,4,8.9059269291835
"BA AN 010 07-13.jpg",10.71476146,148.372707517859,"Bay",7.4,4,8.88691025924246
"BA AN 011 07-13.jpg",11.03391888,164.586375359384,"Bay",7.4,4,8.57578738514484
"BA AN 012 07-13.jpg",10.75952702,145.759557957103,"Bay",7.4,4,9.02396258874767
"BA AN 013 07-13.jpg",9.552482719,127.904687359299,"Bay",7.4,4,8.6952669343255
"BA AN 014 07-13.jpg",10.87019098,138.137085051227,"Bay",7.4,4,9.42885395711372
"BA AN 015 07-13.jpg",11.03940951,146.263545934043,"Bay",7.4,4,9.23869376369413
"BA FN4 001.jpg",8.554889989,95.1196107593487,"Bay",7.4,4,9.37514728415912
"BA FN4 002.jpg",8.667484427,115.585767400013,"Bay",7.4,4,8.40661108695972
"BA FN4 003.jpg",9.479685124,122.578964530298,"Bay",7.4,4,8.86206746053361
"BA FN5 001 07-26.jpg",7.723743214,83.2941403596316,"Bay",7.4,4,9.19858835849079
"BA FN5 002 07-26.jpg",7.98587095,97.6188122133229,"Bay",7.4,4,8.61048776037286
"BA FN5 003 07-26.jpg",8.244008524,106.155685737694,"Bay",7.4,4,8.43388863281614
"BA FN5 004 07-26.jpg",6.682056744,64.3362542350734,"Bay",7.4,4,9.35593849658207
"BA FN5 005 07-26.jpg",7.926496909,90.6686635133661,"Bay",7.4,4,8.95132373364079
"BA FN5 006 07-26.jpg",7.558280895,76.9524699694558,"Bay",7.4,4,9.45949474336377
"BA FN5 007 07-26.jpg",7.945933133,77.4030527724844,"Bay",7.4,4,9.90834089880332
"BA FN5 008 07-26.jpg",8.1390964,88.596736773879,"Bay",7.4,4,9.32552673904186
"BA FN8 001 07-16.jpg",9.677387035,137.685830708937,"Bay",7.4,4,8.41143965786427
"BA FN8 002 07-16.jpg",9.083350333,115.729081480542,"Bay",7.4,4,8.8031220655237
"BA FN8 003 07-16.jpg",10.40487884,147.291923514665,"Bay",7.4,4,8.66951840501789
"BA FN8 004 07-16.jpg",9.05692974,117.772272756282,"Bay",7.4,4,8.68178047217208
"BH Electro 003 06-06.jpg",10.59610844,141.387006339656,"Birch",10.9,7,9.05814969226318
"BH Electro 004 06-06.jpg",8.306419266,122.637091422661,"Birch",10.9,7,7.76293528073356
"BH Electro 005 06-06.jpg",10.58245223,134.43930527171,"Birch",10.9,7,9.33667992807179
"BH Electro 006 06-06.jpg",11.25537061,149.068198594133,"Birch",10.9,7,9.30797868523265
"BH Electro 007 06-06.jpg",11.28201405,144.712898486382,"Birch",10.9,7,9.50499779074621
"BH Electro 008 06-06.jpg",7.778823399,117.834229828857,"Birch",10.9,7,7.45415776166045
"BH FN 001 06-06.jpg",11.14420616,134.986820547971,"Birch",10.9,7,9.80729395765769
"BH FN 002 06-06.jpg",8.764661,90.9007693580753,"Birch",10.9,7,9.88201022459151
"BH FN1 001 06-28.jpg",8.975974025,103.000296823067,"Birch",10.9,7,9.35800092198675
"BH FN1 002 06-28.jpg",9.723529248,112.955830015985,"Birch",10.9,7,9.56787708113419
"BH FN1 003 06-28.jpg",8.6112113,99.2378174941388,"Birch",10.9,7,9.18952675665335
"BH FN1 004 06-28.jpg",7.872624941,93.2384198275582,"Birch",10.9,7,8.73613809031684
"BH FN3 001 06-28.jpg",6.717824,71.8676190619948,"Birch",10.9,7,8.77562857397443
"BH FN3 002 06-28.jpg",10.33968381,131.5666054168,"Birch",10.9,7,9.24680557389673
"BH FN3 003 06-28.jpg",9.307412817,117.739526908723,"Birch",10.9,7,8.92344308751316
"BH FN3 004 06-28.jpg",8.982109347,107.027643894136,"Birch",10.9,7,9.14200548706576
"BH FN3 005 06-28.jpg",8.397444008,95.7699037736282,"Birch",10.9,7,9.16339796496495
"BH FN3 006 06-28.jpg",8.188020831,90.5717889895634,"Birch",10.9,7,9.25285678652783
"BH FN3 007 06-28.jpg",8.659695,97.1067292787683,"Birch",10.9,7,9.36783954137884
"BH FN3 008 06-28.jpg",9.82834387,102.294684879763,"Birch",10.9,7,10.290882856266
"BH FN3 009 06-28.jpg",8.504837358,96.6223124023121,"Birch",10.9,7,9.22919608425285
"BH FN3 010 06-28.jpg",7.769079603,81.7092100970876,"Birch",10.9,7,9.36464492982643
"BH FN3 011 06-28.jpg",6.193883478,60.7953918915735,"Birch",10.9,7,8.98558594085595
