"","fishID","X13","X14","Y13","Y14","fishStdLength","lakeID","captureMethod","basin","DOC","DOClevel","X","Y","hyp_dist","opp_dist","sinAngle","ang_deg"
"26","BA FN5 008 07-26.jpg",77.5699,74.211,52.483,56.7866,88.596736773879,"BA","Fyke_Net",4,7.4,"low",-3.35890000000001,4.3036,5.45922908202249,3.35890000000001,0.615270022476439,37.9715432229299
"27","BA FN8 001 07-16.jpg",74.9457,69.2251,52.5355,61.3001,137.685830708937,"BA","Fyke_Net",4,7.4,"low",-5.7206,8.7646,10.4663019983182,5.7206,0.546573183242679,33.1322351617341
"28","BA FN8 002 07-16.jpg",68.018,65.7612,55.7894,62.5073,115.729081480542,"BA","Fyke_Net",4,7.4,"low",-2.2568,6.7179,7.08684179659741,2.2568,0.318449326903777,18.5691726430844
"29","BA FN8 003 07-16.jpg",67.0208,60.4604,63.347,72.2166,147.291923514665,"BA","Fyke_Net",4,7.4,"low",-6.56039999999999,8.8696,11.0321644440246,6.56039999999999,0.594661186686113,36.4884826345791
"30","BA FN8 004 07-16.jpg",75.3131,70.9045,56.8391,63.6094,117.772272756282,"BA","Fyke_Net",4,7.4,"low",-4.40860000000001,6.7703,8.07915317654023,4.40860000000001,0.545676001391017,33.0708713131501
"31","BH Electro 003 06-06.jpg",71.062,68.8577,45.5028,55.8419,141.387006339656,"BH","Electrofishing",7,10.9,"high",-2.2043,10.3391,10.5714676038855,2.2043,0.20851409497673,12.035288618445
"32","BH Electro 004 06-06.jpg",71.7443,68.9627,54.5298,63.8718,122.637091422661,"BH","Electrofishing",7,10.9,"high",-2.7816,9.342,9.74732078881166,2.7816,0.285370724968119,16.5810098678992
"33","BH Electro 005 06-06.jpg",80.7189,78.4096,51.4333,59.8306,134.43930527171,"BH","Electrofishing",7,10.9,"high",-2.30930000000001,8.39729999999999,8.70904781132817,2.30930000000001,0.265161019898894,15.3765208429637
"34","BH Electro 006 06-06.jpg",59.6732,58.0462,47.7595,58.571,149.068198594133,"BH","Electrofishing",7,10.9,"high",-1.627,10.8115,10.933236540476,1.627,0.148812293045767,8.55810348223818
"35","BH Electro 007 06-06.jpg",62.7172,60.9328,49.3865,60.3555,144.712898486382,"BH","Electrofishing",7,10.9,"high",-1.7844,10.969,11.1131923568343,1.7844,0.160565924057154,9.23974599297738
"36","BH Electro 008 06-06.jpg",70.957,69.6974,53.3752,62.4548,117.834229828857,"BH","Electrofishing",7,10.9,"high",-1.25959999999999,9.0796,9.16655487737896,1.25959999999999,0.137412584864179,7.898151217845
"37","BH FN 001 06-06.jpg",72.584,70.5372,53.7426,63.347,134.986820547971,"BH","Fyke_Net",7,10.9,"high",-2.0468,9.6044,9.82007584492095,2.0468,0.208430162080533,12.0303715821223
"38","BH FN 002 06-06.jpg",91.4254,89.7459,53.7951,59.9356,90.9007693580753,"BH","Fyke_Net",7,10.9,"high",-1.67949999999999,6.1405,6.3660396244447,1.67949999999999,0.263821794880281,15.2969554132762
"39","BH FN1 001 06-28.jpg",80.8238,79.7742,53.3752,60.7753,103.000296823067,"BH","Fyke_Net",7,10.9,"high",-1.04960000000001,7.4001,7.47416484766024,1.04960000000001,0.140430405455746,8.07275271330207
