Lake,DOC,DOC_bin,eyeW_var
Bay,7.4,0-10,0.171
Birch,10.9,10-15.00,0.351
Crampton,5,0-10,0.2
Found,6.21,0-10,0.112
Hummingbird,24.5,15-25,0.203
Little_Crooked,4.07,0-10,0.196
Lost,4.02,0-10,0.116
McCullough,14.3,10-15.00,0.301
Muskellunge,6.66,0-10,0.162
Oxbow,11.12,10-15.00,0.261
Papoose,6.49,0-10,0.243
Red_Bass,18.9,15-25,0.251
Squaw,23.85,15-25,0.207
Towanda,5.29,0-10,0.195
