fishID,lakeID,fishStdLength,DOC,DOClevel,captureMethod, X13, Y13, X14, Y14,basin,X,Y,hyp_dist,opp_dist,sinAngle,ang_deg,fitted
BH Electro 005 06-06.jpg,BH,134.4394841,10.9,high,Electrofishing,80.7189,51.4333,78.4096,59.8306,7,-2.3093,8.3973,8.709047811,2.3093,0.268370916,15.37652084,2.737551
BH Electro 006 06-06.jpg,BH,149.0680184,10.9,high,Electrofishing,59.6732,47.7595,58.0462,58.571,7,-1.627,10.8115,10.93323654,1.627,0.149367083,8.558103482,2.737551
BH Electro 007 06-06.jpg,BH,144.713229,10.9,high,Electrofishing,62.7172,49.3865,60.9328,60.3555,7,-1.7844,10.969,11.11319236,1.7844,0.16126399,9.239745993,2.737551
BH Electro 008 06-06.jpg,BH,117.8341649,10.9,high,Electrofishing,70.957,53.3752,69.6974,62.4548,7,-1.2596,9.0796,9.166554877,1.2596,0.137848744,7.898151218,2.737551
BH FN 001 06-06.jpg,BH,134.9872963,10.9,high,Fyke_Net,72.584,53.7426,70.5372,63.347,7,-2.0468,9.6044,9.820075845,2.0468,0.209969594,12.03037158,2.737551
BH FN 002 06-06.jpg,BH,90.90087417,10.9,high,Fyke_Net,91.4254,53.7951,89.7459,59.9356,7,-1.6795,6.1405,6.366039624,1.6795,0.266982237,15.29695541,2.737551
BH FN1 001 06-28.jpg,BH,102.9999433,10.9,high,Fyke_Net,80.4296,53.1149,79.385,60.4789,7,-1.0446,7.364,7.437720428,1.0446,0.140912125,8.073670072,2.737551
BH FN1 002 06-28.jpg,BH,112.9559142,10.9,high,Fyke_Net,79.7742,50.0688,76.7826,58.2036,7,-2.9916,8.1348,8.667447237,2.9916,0.352402362,20.19116802,2.737551
BH FN1 003 06-28.jpg,BH,99.23812279,10.9,high,Fyke_Net,85.6523,54.6873,84.0253,61.5101,7,-1.627,6.8228,7.014109269,1.627,0.234093215,13.41255323,2.737551
BH FN1 004 06-28.jpg,BH,93.23824673,10.9,high,Fyke_Net,84.5501,45.1354,80.7713,51.066,7,-3.7788,5.9306,7.032165086,3.7788,0.567302901,32.50406193,2.737551
BH FN3 001 06-28.jpg,BH,71.86764544,10.9,high,Fyke_Net,99.2978,64.869,96.8311,69.0151,7,-2.4667,4.1461,4.824391578,2.4667,0.536694037,30.75030321,2.737551
BH FN3 002 06-28.jpg,BH,131.5664232,10.9,high,Fyke_Net,79.3018,47.8645,75.4181,57.7838,7,-3.8837,9.9193,10.65249446,3.8837,0.373183087,21.38181586,2.737551
BH FN3 003 06-28.jpg,BH,117.7399112,10.9,high,Fyke_Net,83.1856,50.8035,80.9288,59.1483,7,-2.2568,8.3448,8.644584043,2.2568,0.264125498,15.1332763,2.737551
BH FN3 004 06-28.jpg,BH,107.0273531,10.9,high,Fyke_Net,86.2268,54.5772,81.5263,60.6878,7,-4.7005,6.1106,7.709353579,4.7005,0.655699581,37.5688186,2.737551
BH FN3 005 06-28.jpg,BH,95.76939596,10.9,high,Fyke_Net,86.3345,59.4108,83.0806,65.6038,7,-3.2539,6.193,6.995792608,3.2539,0.483772897,27.71814526,2.737551
BH FN3 006 06-28.jpg,BH,90.57139585,10.9,high,Fyke_Net,83.5529,56.8391,80.7189,63.0321,7,-2.834,6.193,6.810639104,2.834,0.429167193,24.58946888,2.737551
BH FN3 007 06-28.jpg,BH,97.10718044,10.9,high,Fyke_Net,75.4181,56.2618,73.0039,62.5597,7,-2.4142,6.2979,6.744768791,2.4142,0.366057208,20.97353308,2.737551
