1,123,10,0,,,,,,,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
BA AN 001.jpg,23.2688,60.7939,42.1789,78.9829,53.7805,85.0132,35.231,54.5015,25.8251,53.1906
BA AN 002.jpg,48.9629,36.4763,70.1998,54.3704,79.1468,59.5485,71.8056,37.2629,52.8628,30.61
BA AN 005.jpg,53.7149,36.8369,67.1191,56.8939,75.6729,66.3326,71.2157,41.3595,59.3191,32.2486
BA AN 006.jpg,28.9713,70.4292,52.5679,68.43,68.2006,65.5788,40.8352,57.2544,29.2007,62.7275
BA AN 007.jpg,28.5125,69.7409,55.8124,68.4956,71.1502,67.0863,40.7368,54.6981,26.9066,61.8099
BA AN 008.jpg,55.0586,31.2982,63.1536,53.6166,69.8065,66.1359,68.5283,35.4276,58.467,25.4646
BA AN 011.jpg,25.3335,70.9535,52.7973,71.314,67.9057,69.2166,38.3444,56.1074,20.352,64.1695
BA AN 012.jpg,31.3965,71.1174,61.4166,66.9225,69.8065,63.6124,40.8024,56.6645,28.1848,63.7763
BA AN 014.jpg,28.5125,69.2493,52.4368,68.0367,65.4149,64.1368,41.8183,55.3208,27.726,61.7116
BA AN 015.jpg,28.2176,69.7409,53.5839,66.0376,67.9057,60.8267,36.7385,56.4351,25.6613,62.9897
BA FN5 001.jpg,34.0184,60.6628,46.7671,72.4283,54.2393,74.6897,43.7847,60.0729,36.6074,55.9107
BA FN8 001.jpg,28.2831,74.0014,51.8141,65.8737,65.7426,58.8275,35.1982,57.1233,22.9739,68.5283
BA FN8 003.jpg,30.0201,68.1678,54.3376,69.6754,68.0695,67.8729,37.7545,54.9931,28.0537,60.925
BA FN8 004.jpg,32.4453,70.4619,53.6494,69.0527,65.7426,65.6771,40.8024,58.4015,30.0528,64.6284
BH FN 001.jpg,36.0503,67.7418,48.8318,68.43,73.2804,61.9737,48.2746,55.157,32.8713,61.6788
BH FN1 001.jpg,29.2007,67.9712,51.3881,69.4132,61.2527,68.2006,41.3268,60.8922,30.4789,62.662
BH FN3 003.jpg,30.7738,68.5283,53.2889,67.5124,64.9561,66.1359,41.3595,59.7124,29.1024,63.1863
BH FN4 002.jpg,28.1192,65.8737,42.5066,66.988,60.5317,65.4477,45.8167,59.2536,28.9386,60.1385
BH FN4 004.jpg,32.347,67.8073,44.1125,67.7746,63.0553,64.7922,45.1612,56.599,32.478,62.0065
BH shock 003.jpg,21.7285,67.2502,47.783,69.6754,62.3015,63.7763,35.4604,55.4847,22.7445,59.2864
BH shock 007.jpg,26.4478,65.4477,40.8352,67.8401,65.8082,65.8737,41.0973,54.3049,27.005,57.0578
FD shock 003.jpg,31.3965,71.8384,42.3755,69.7082,61.8754,60.1057,39.6553,60.5645,28.9058,67.0863
FD shock 005.jpg,29.4629,69.872,49.5855,65.9393,59.3191,63.1208,36.5091,61.0233,27.5621,65.3494
FD shock 007.jpg,32.2159,67.1191,51.1587,64.5628,62.2032,63.8418,42.5721,57.2544,30.2823,60.6301
FD shock 009.jpg,35.0671,61.8427,46.7998,70.5603,54.2721,72.5594,44.2763,59.6141,35.952,58.8931
FD shock 011.jpg,24.252,67.6762,46.4393,68.3317,59.6796,67.8401,35.4276,58.2048,23.8915,62.7275
FD shock 012.jpg,29.5285,70.8552,54.436,69.151,66.562,65.2838,40.8679,58.3687,26.7755,64.8578
FD shock 014.jpg,35.0671,66.9225,51.683,64.104,57.9427,59.188,40.0486,59.6469,33.2646,62.6947
FD shock 015.jpg,32.3142,65.6771,52.404,64.9233,62.5964,63.2191,42.9654,57.2872,31.3965,61.941
FD shock 019.jpg,27.726,62.8914,47.9141,70.6258,57.9427,73.6409,41.9494,55.9435,27.9554,57.9754
FD shock 022.jpg,31.1671,69.5771,53.7477,65.6443,64.4645,63.6779,39.4915,58.5654,30.7738,63.2519
HB AN 001.jpg,28.873,69.7409,56.4351,70.1342,74.3292,69.2821,38.2789,56.2057,27.2999,59.6796
HB AN 002 (2).jpg,27.3327,66.7586,54.2065,70.5275,73.2804,72.5922,41.4906,53.9771,28.1848,56.5007
HB AN 003.jpg,25.3663,69.3477,54.0427,68.5611,71.4451,64.5956,33.5268,54.3704,22.9411,59.188
HB AN 004 (2).jpg,27.3982,71.5762,55.6813,68.9216,72.8216,65.8082,39.852,54.7637,26.6772,62.1704
HB AN 004.jpg,35.2965,68.43,61.4821,69.3149,77.7376,65.9393,44.7024,55.5502,34.215,61.9737
HB AN 006.jpg,29.0041,68.3973,53.6166,72.0678,66.8241,72.0351,39.8192,56.8612,27.1688,60.4334
HB AN 007.jpg,29.6596,68.3317,42.0805,70.593,69.5771,72.2972,38.3444,53.9116,28.873,60.4334
HB AN 008 (2).jpg,31.3965,66.267,57.5166,69.0855,74.5913,68.5611,44.9973,55.0914,31.1016,58.0082
HB AN 008.jpg,35.5259,67.3813,60.7284,74.5258,73.772,74.1653,44.9973,55.6813,34.1167,58.3687
HB AN 009.jpg,26.3167,66.6275,48.3074,68.7578,69.6754,70.3964,40.999,54.8948,24.547,57.7133
HB AN 010.jpg,24.4814,65.2838,50.962,68.2989,65.0872,67.9712,40.1797,53.9444,23.8915,57.1561
HB AN 011.jpg,25.4974,66.9225,51.8797,69.6099,65.5132,68.7578,43.8503,54.141,25.989,58.1393
HB AN 013.jpg,24.8092,67.9712,48.2419,70.167,62.662,69.7737,33.1007,54.5998,24.5797,62.367
HB AN 015.jpg,33.1335,69.5771,56.7956,66.1031,69.151,61.3838,43.0637,54.7637,29.9873,62.4981
Lost 10.jpg,31.5932,62.2032,46.3738,68.2334,56.7301,69.446,44.5057,55.9107,32.8058,57.7788
Lost 11.jpg,32.5764,60.0074,45.5872,68.3973,51.8469,70.4947,42.3099,56.4679,33.5596,58.041
Lost 12.jpg,29.7579,66.1359,50.4049,66.9552,58.041,65.6443,40.0814,57.0578,29.7907,60.499
Lost 25.jpg,27.1688,74.2308,53.0267,62.9569,61.8099,52.5679,31.036,59.6469,22.6461,70.3636
Lost 26.jpg,29.8562,66.3326,43.752,68.43,64.3989,62.7931,44.0469,56.7628,30.3806,58.9259
