PecFinLengths	fishStdLength	Ratio	rangeDOC	lakeDOC	lakeID
39.72966237	155.971214	0.254724326	15.0-25.0	24.5	Hummingbird
32.98467332	133.266722	0.247508701	15.0-25.0	24.5	Hummingbird
21.68525585	80.90418387	0.268036272	0-5.0	4.0675	Little Crooked
28.95431754	102.0650888	0.283684832	0-5.0	4.0675	Little Crooked
29.21770228	100.7690124	0.289947292	0-5.0	4.0675	Little Crooked
36.59455073	115.5990045	0.316564584	0-5.0	4.0675	Little Crooked
28.57566872	60.8711235	0.469445397	0-5.0	4.0675	Little Crooked
29.92944315	92.75375058	0.322676366	0-5.0	4.0675	Little Crooked
28.91290458	89.34201543	0.323620465	0-5.0	4.0675	Little Crooked
32.15865342	65.90670552	0.487942056	0-5.0	4.0675	Little Crooked
23.08547564	108.1047527	0.213547278	0-5.0	4.0675	Little Crooked
28.26242651	98.32794403	0.28743026	0-5.0	4.0675	Little Crooked
31.3580024	65.92641865	0.475651538	0-5.0	4.0675	Little Crooked
28.69707184	106.148379	0.270348658	0-5.0	4.0675	Little Crooked
41.63673593	150.8776709	0.275963538	0-5.0	4.02	Lost
39.46784674	131.0951498	0.301062601	0-5.0	4.02	Lost
34.85910903	120.2314759	0.289933304	0-5.0	4.02	Lost
37.84370388	139.8671425	0.270568936	0-5.0	4.02	Lost
32.11449023	126.1248927	0.25462452	0-5.0	4.02	Lost
33.38569213	127.8753653	0.261079935	0-5.0	4.02	Lost
32.69641411	106.427765	0.307216957	0-5.0	4.02	Lost
40.09299803	138.6532208	0.289160236	0-5.0	4.02	Lost
26.29099002	90.08918627	0.291832917	0-5.0	4.02	Lost
35.41846397	127.1925804	0.278463286	0-5.0	4.02	Lost
35.95748057	119.1163441	0.301868571	0-5.0	4.02	Lost
33.72319229	117.8013445	0.28627171	0-5.0	4.02	Lost
21.84433799	80.70830432	0.270657873	0-5.0	4.02	Lost
26.35669327	70.85809592	0.371964458	0-5.0	4.02	Lost
22.25781566	88.75360886	0.250782092	0-5.0	4.02	Lost
28.61212852	85.97747501	0.332786332	0-5.0	4.02	Lost
25.58450861	80.35118481	0.318408604	0-5.0	4.02	Lost
20.87312603	81.88693616	0.254901783	0-5.0	4.02	Lost
38.17788549	145.2572331	0.262829497	10.0-15.0	14.3	McCullough
40.62875468	162.4933391	0.250033355	10.0-15.0	14.3	McCullough
39.98845699	154.3283268	0.259112878	10.0-15.0	14.3	McCullough
36.87288887	148.6616897	0.24803222	10.0-15.0	14.3	McCullough
35.34878224	133.4641809	0.264855949	10.0-15.0	14.3	McCullough
42.41654936	149.5113417	0.283701215	10.0-15.0	14.3	McCullough
43.49311276	160.9762717	0.270183377	10.0-15.0	14.3	McCullough
39.25395016	141.1115557	0.278176723	10.0-15.0	14.3	McCullough
37.32312243	144.3785446	0.258508787	10.0-15.0	14.3	McCullough
