imageID,parameter,parameterValue,parameterUnit,processedBy,replicate,imageFile,comments,metadataID,updateID
BA AN 001 07-13.jpg,X1,16.2172,,CB,,,,,
BA AN 002 07-13.jpg,X1,18.8414,,CB,,,,,
BA AN 003 07-13.jpg,X1,34.9537,,CB,,,,,
BA AN 004 07-13.jpg,X1,41.2516,,CB,,,,,
BA AN 005 07-13.jpg,X1,26.294,,CB,,,,,
BA AN 006 07-13.jpg,X1,28.9181,,CB,,,,,
BA AN 007 07-13.jpg,X1,23.9847,,CB,,,,,
BA AN 008 07-13.jpg,X1,39.2573,,CB,,,,,
BA AN 009 07-13.jpg,X1,18.2116,,CB,,,,,
BA AN 010 07-13.jpg,X1,25.3493,,CB,,,,,
BA AN 011 07-13.jpg,X1,19.5237,,CB,,,,,
BA AN 012 07-13.jpg,X1,22.5677,,CB,,,,,
BA AN 013 07-13.jpg,X1,37.9452,,CB,,,,,
BA AN 014 07-13.jpg,X1,32.0146,,CB,,,,,
BA AN 015 07-13.jpg,X1,27.3436,,CB,,,,,
BA FN4 001.jpg,X1,52.4305,,CB,,,,,
BA FN4 002.jpg,X1,46.7099,,CB,,,,,
BA FN4 003.jpg,X1,35.0586,,CB,,,,,
BA FN5 001 07-26.jpg,X1,47.8645,,CB,,,,,
BA FN5 002 07-26.jpg,X1,47.1297,,CB,,,,,
BA FN5 003 07-26.jpg,X1,43.141,,CB,,,,,
BA FN5 004 07-26.jpg,X1,61.615,,CB,,,,,
BA FN5 005 07-26.jpg,X1,49.1241,,CB,,,,,
BA FN5 006 07-26.jpg,X1,58.8334,,CB,,,,,
BA FN5 007 07-26.jpg,X1,51.2759,,CB,,,,,
BA FN5 008 07-26.jpg,X1,48.4943,,CB,,,,,
BA FN8 001 07-16.jpg,X1,29.7579,,CB,,,,,
BA FN8 002 07-16.jpg,X1,32.9068,,CB,,,,,
BA FN8 003 07-16.jpg,X1,20.2584,,CB,,,,,
BA FN8 004 07-16.jpg,X1,37.7353,,CB,,,,,
BH Electro 003 06-06.jpg,X1,27.7635,,CB,,,,,
BH Electro 004 06-06.jpg,X1,34.1664,,CB,,,,,
BH Electro 005 06-06.jpg,X1,41.1467,,CB,,,,,
BH Electro 006 06-06.jpg,X1,19.7861,,CB,,,,,
BH Electro 007 06-06.jpg,X1,22.4627,,CB,,,,,
BH Electro 008 06-06.jpg,X1,36.7906,,CB,,,,,
BH FN 001 06-06.jpg,X1,31.7522,,CB,,,,,
BH FN 002 06-06.jpg,X1,63.137,,CB,,,,,
BH FN1 001 06-28.jpg,X1,47.707,,CB,,,,,
BH FN1 002 06-28.jpg,X1,42.9836,,CB,,,,,
BH FN1 003 06-28.jpg,X1,52.7454,,CB,,,,,
BH FN1 004 06-28.jpg,X1,54.1625,,CB,,,,,
BH FN3 001 06-28.jpg,X1,71.5868,,CB,,,,,
BH FN3 002 06-28.jpg,X1,37.2629,,CB,,,,,
BH FN3 003 06-28.jpg,X1,46.4475,,CB,,,,,
BH FN3 004 06-28.jpg,X1,51.5908,,CB,,,,,
BH FN3 005 06-28.jpg,X1,53.9525,,CB,,,,,
BH FN3 006 06-28.jpg,X1,52.6404,,CB,,,,,
BH FN3 007 06-28.jpg,X1,43.4559,,CB,,,,,
BH FN3 008 06-28.jpg,X1,48.6517,,CB,,,,,
BH FN3 009 06-28.jpg,X1,55.3696,,CB,,,,,
BH FN3 010 06-28.jpg,X1,61.1952,,CB,,,,,
BH FN3 011 06-28.jpg,X1,66.391,,CB,,,,,
BH FN3 012 06-28.jpg,X1,62.6122,,CB,,,,,
BH FN3 013 06-28.jpg,X1,64.3966,,CB,,,,,
BH FN4 001 06-28.jpg,X1,66.6009,,CB,,,,,
BH FN4 002 06-28.jpg,X1,48.2844,,CB,,,,,
BH FN4 003 06-28.jpg,X1,49.0191,,CB,,,,,
BH FN4 004 06-28.jpg,X1,49.3865,,CB,,,,,
CR FN1 001.jpg,X1,68.4903,,CB,,,,,
CR FN1 002.jpg,X1,39.3623,,CB,,,,,
CR FN1 003.jpg,X1,47.7595,,CB,,,,,
CR FN1 004.jpg,X1,65.6562,,CB,,,,,
CR FN1 005.jpg,X1,61.4051,,CB,,,,,
CR FN1 006.jpg,X1,71.6918,,CB,,,,,
CR FN1 007.jpg,X1,66.2335,,CB,,,,,
CR FN1 008.jpg,X1,50.1213,,CB,,,,,
CR FN1 009.jpg,X1,51.4333,,CB,,,,,
CR FN1 010.jpg,X1,77.4124,,CB,,,,,
CR FN1 011.jpg,X1,61.9299,,CB,,,,,
CR FN1 012.jpg,X1,60.4604,,CB,,,,,
CR FN1 013.jpg,X1,67.7556,,CB,,,,,
CR FN1 014.jpg,X1,77.8323,,CB,,,,,
CR FN1 015.jpg,X1,67.2832,,CB,,,,,
CR FN7 001.jpg,X1,48.5993,,CB,,,,,
CR FN7 002.jpg,X1,47.3397,,CB,,,,,
CR FN7 003.jpg,X1,69.3825,,CB,,,,,
CR FN7 004.jpg,X1,40.9892,,CB,,,,,
CR FN9 001.jpg,X1,43.4034,,CB,,,,,
CR FN9 002.jpg,X1,32.8544,,CB,,,,,
CR FN9 003.jpg,X1,32.9593,,CB,,,,,
CR FN9 004.jpg,X1,59.7781,,CB,,,,,
CR FN9 005.jpg,X1,77.9373,,CB,,,,,
CR FN9 006.jpg,X1,69.54,,CB,,,,,
CR FN9 007.jpg,X1,71.3769,,CB,,,,,
CR FN9 008.jpg,X1,68.2279,,CB,,,,,
CR FN9 009.jpg,X1,68.5428,,CB,,,,,
CR FN9 010.jpg,X1,41.4616,,CB,,,,,
CR FN9 011.jpg,X1,51.1709,,CB,,,,,
FD Electro 001.jpg,X1,60.4079,,CB,,,,,
FD Electro 002.jpg,X1,52.1681,,CB,,,,,
FD Electro 003.jpg,X1,43.4034,,CB,,,,,
FD Electro 004.jpg,X1,44.768,,CB,,,,,
FD Electro 005.jpg,X1,43.5609,,CB,,,,,
FD Electro 006.jpg,X1,56.4717,,CB,,,,,
FD Electro 007.jpg,X1,47.2872,,CB,,,,,
FD Electro 008.jpg,X1,46.8673,,CB,,,,,
FD Electro 009.jpg,X1,45.7652,,CB,,,,,
FD Electro 010.jpg,X1,45.2928,,CB,,,,,
FD Electro 011.jpg,X1,41.0942,,CB,,,,,
FD Electro 012.jpg,X1,62.8222,,CB,,,,,
FD Electro 013.jpg,X1,70.4847,,CB,,,,,
FD Electro 014.jpg,X1,48.1794,,CB,,,,,
FD Electro 015.jpg,X1,46.9723,,CB,,,,,
FD Electro 016.jpg,X1,60.3555,,CB,,,,,
FD Electro 017.jpg,X1,46.3425,,CB,,,,,
FD Electro 018.jpg,X1,48.1794,,CB,,,,,
FD Electro 019.jpg,X1,63.242,,CB,,,,,
FD Electro 020.jpg,X1,60.6179,,CB,,,,,
FD Electro 021.jpg,X1,70.4322,,CB,,,,,
FD Electro 022.jpg,X1,65.6038,,CB,,,,,
FD Electro 023.jpg,X1,59.5682,,CB,,,,,
FD Electro 024.jpg,X1,52.7979,,CB,,,,,
FD Electro 025.jpg,X1,64.3966,,CB,,,,,
FD Electro 026.jpg,X1,61.8775,,CB,,,,,
FD Electro 027.jpg,X1,59.3058,,CB,,,,,
FD Electro 028.jpg,X1,62.4023,,CB,,,,,
FD Electro 029.jpg,X1,74.106,,CB,,,,,
FD Electro 030.jpg,X1,65.6562,,CB,,,,,
HB AN 001 07-24.jpg,X1,14.013,,CB,,,,,
HB AN 001.jpg,X1,10.9165,,CB,,,,,
HB AN 002 07-24.jpg,X1,18.579,,CB,,,,,
HB AN 002.jpg,X1,11.8612,,CB,,,,,
HB AN 003 07-24.jpg,X1,28.3408,,CB,,,,,
HB AN 003.jpg,X1,15.8499,,CB,,,,,
HB AN 004 07-24.jpg,X1,23.5649,,CB,,,,,
HB AN 004.jpg,X1,16.3747,,CB,,,,,
HB AN 005 07-24.jpg,X1,26.5039,,CB,,,,,
HB AN 005.jpg,X1,14.1179,,CB,,,,,
HB AN 006 07-24.jpg,X1,32.3295,,CB,,,,,
HB AN 006.jpg,X1,19.7861,,CB,,,,,
HB AN 007 07-24.jpg,X1,26.8188,,CB,,,,,
HB AN 007.jpg,X1,16.6896,,CB,,,,,
HB AN 008 07-24.jpg,X1,19.4187,,CB,,,,,
HB AN 008.jpg,X1,17.7917,,CB,,,,,
HB AN 009 07-24.jpg,X1,19.996,,CB,,,,,
HB AN 009.jpg,X1,21.8854,,CB,,,,,
HB AN 010 07-24.jpg,X1,26.1365,,CB,,,,,
HB AN 010.jpg,X1,22.4102,,CB,,,,,
HB AN 011 07-24.jpg,X1,20.6783,,CB,,,,,
HB AN 011.jpg,X1,14.9052,,CB,,,,,
HB AN 012 07-24.jpg,X1,35.0062,,CB,,,,,
HB AN 012.jpg,X1,17.7917,,CB,,,,,
HB AN 013 07-24.jpg,X1,24.6145,,CB,,,,,
HB AN 014 07-24.jpg,X1,34.6913,,CB,,,,,
HB AN 015 07-24.jpg,X1,22.6202,,CB,,,,,
HB FN3 001.jpg,X1,19.1866,,CB,,,,,
HB FN9 001.jpg,X1,27.6399,,CB,,,,,
HB FN9 002.jpg,X1,32.1315,,CB,,,,,
LC Electro1 001.jpg,X1,56.6292,,CB,,,,,
LC Electro1 002.jpg,X1,50.961,,CB,,,,,
LC Electro1 003.jpg,X1,36.2133,,CB,,,,,
LC Electro1 004.jpg,X1,43.246,,CB,,,,,
LC Electro1 005.jpg,X1,50.8035,,CB,,,,,
LC Electro1 006.jpg,X1,45.6077,,CB,,,,,
LC Electro1 007.jpg,X1,48.9666,,CB,,,,,
LC Electro1 008.jpg,X1,45.3978,,CB,,,,,
LC Electro1 009.jpg,X1,48.4943,,CB,,,,,
LC Electro1 010.jpg,X1,51.5908,,CB,,,,,
LC Electro1 011.jpg,X1,57.4164,,CB,,,,,
LC Electro1 012.jpg,X1,64.0293,,CB,,,,,
LC Electro1 013.jpg,X1,56.1043,,CB,,,,,
LC Electro1 014.jpg,X1,49.0716,,CB,,,,,
LC Electro1 015.jpg,X1,72.5315,,CB,,,,,
LC Electro1 016.jpg,X1,63.8193,,CB,,,,,
LC Electro1 017.jpg,X1,53.9,,CB,,,,,
LC Electro1 018.jpg,X1,56.1043,,CB,,,,,
LC Electro1 019.jpg,X1,65.4988,,CB,,,,,
LC Electro1 020.jpg,X1,43.2985,,CB,,,,,
LC Electro1 021.jpg,X1,43.5084,,CB,,,,,
LC Electro1 022.jpg,X1,57.049,,CB,,,,,
LC Electro1 023.jpg,X1,63.0846,,CB,,,,,
LC Electro1 024.jpg,X1,65.1839,,CB,,,,,
LC Electro1 025.jpg,X1,59.9881,,CB,,,,,
LC Electro1 026.jpg,X1,47.3397,,CB,,,,,
LC Electro1 027.jpg,X1,55.4745,,CB,,,,,
LC Electro1 028.jpg,X1,74.3684,,CB,,,,,
LC Electro2 001.jpg,X1,58.2561,,CB,,,,,
LC Electro3 001.jpg,X1,47.4971,,CB,,,,,
LT Electro 1.jpg,X1,45.5028,,CB,,,,,
LT Electro 10.jpg,X1,51.5383,,CB,,,,,
LT Electro 11.jpg,X1,68.7002,,CB,,,,,
LT Electro 12.jpg,X1,46.9198,,CB,,,,,
LT Electro 13.jpg,X1,48.3893,,CB,,,,,
LT Electro 14.jpg,X1,56.9441,,CB,,,,,
LT Electro 15.jpg,X1,51.7482,,CB,,,,,
LT Electro 2.jpg,X1,59.7257,,CB,,,,,
LT Electro 3.jpg,X1,53.2702,,CB,,,,,
LT Electro 4.jpg,X1,61.0902,,CB,,,,,
LT Electro 5.jpg,X1,53.4277,,CB,,,,,
LT Electro 6.jpg,X1,54.3199,,CB,,,,,
LT Electro 7.jpg,X1,60.8278,,CB,,,,,
LT Electro 8.jpg,X1,55.1072,,CB,,,,,
LT Electro 9.jpg,X1,39.7821,,CB,,,,,
LT FN 001 06-05.jpg,X1,28.4458,,CB,,,,,
LT FN 002 06-05.jpg,X1,27.3436,,CB,,,,,
LT FN 003 06-05.jpg,X1,28.4983,,CB,,,,,
LT FN 004 06-05.jpg,X1,33.6416,,CB,,,,,
LT FN 005 06-05.jpg,X1,25.7167,,CB,,,,,
LT FN 006 06-05.jpg,X1,26.1365,,CB,,,,,
LT FN 007 06-05.jpg,X1,33.0643,,CB,,,,,
LT FN 008 06-05.jpg,X1,30.1777,,CB,,,,,
LT FN 009 06-05.jpg,X1,47.3397,,CB,,,,,
LT FN 010 06-05.jpg,X1,54.4249,,CB,,,,,
LT FN 011 06-05.jpg,X1,36.2133,,CB,,,,,
LT FN 012 06-05.jpg,X1,55.9994,,CB,,,,,
LT FN 013 06-05.jpg,X1,37.3154,,CB,,,,,
LT FN 014 06-05.jpg,X1,31.4898,,CB,,,,,
LT FN 015 06-05.jpg,X1,37.7878,,CB,,,,,
MC FN7 001.jpg,X1,23.1903,,CB,,,,,
MC FN7 002.jpg,X1,24.5169,,CB,,,,,
MC FN7 003.jpg,X1,26.9243,,CB,,,,,
MC FN7 004.jpg,X1,17.7027,,CB,,,,,
MC FN7 005.jpg,X1,24.47,,CB,,,,,
MC FN7 006.jpg,X1,28.8834,,CB,,,,,
MC FN7 007.jpg,X1,27.6084,,CB,,,,,
MC FN7 008.jpg,X1,31.1391,,CB,,,,,
MC FN7 009.jpg,X1,24.2738,,CB,,,,,
MC FN7 010.jpg,X1,27.069,,CB,,,,,
MC FN7 011.jpg,X1,24.4209,,CB,,,,,
MC FN7 012.jpg,X1,23.9796,,CB,,,,,
MC FN7 013.jpg,X1,26.8238,,CB,,,,,
MC FN7 014.jpg,X1,27.3632,,CB,,,,,
MC FN7 015.jpg,X1,24.47,,CB,,,,,
MC FN8 001.jpg,X1,31.8257,,CB,,,,,
MC FN8 002.jpg,X1,22.7046,,CB,,,,,
MC FN8 003.jpg,X1,30.5507,,CB,,,,,
MC FN8 004.jpg,X1,40.5544,,CB,,,,,
MC FN8 005.jpg,X1,37.9554,,CB,,,,,
MC FN8 006.jpg,X1,30.2074,,CB,,,,,
MC FN8 007.jpg,X1,23.5382,,CB,,,,,
MC FN8 008.jpg,X1,32.7083,,CB,,,,,
MC FN8 009.jpg,X1,31.6785,,CB,,,,,
MC FN8 010.jpg,X1,69.2907,,CB,,,,,
MC FN8 011.jpg,X1,27.3142,,CB,,,,,
MC FN8 012.jpg,X1,57.3745,,CB,,,,,
MC FN8 013.jpg,X1,48.6947,,CB,,,,,
MC FN8 014.jpg,X1,48.0572,,CB,,,,,
MC FN8 015.jpg,X1,56.8841,,CB,,,,,
MK Electro 001.jpg,X1,39.1575,,CB,,,,,
MK Electro 002.jpg,X1,54.7781,,CB,,,,,
MK Electro 003.jpg,X1,66.8919,,CB,,,,,
MK Electro 004.jpg,X1,57.594,,CB,,,,,
MK Electro 005.jpg,X1,54.0874,,CB,,,,,
MK Electro 006.jpg,X1,59.5067,,CB,,,,,
MK Electro 007.jpg,X1,65.6168,,CB,,,,,
MK Electro 008.jpg,X1,66.3075,,CB,,,,,
MK Electro 009.jpg,X1,61.4194,,CB,,,,,
MK Electro 010.jpg,X1,49.5712,,CB,,,,,
MK Electro 011.jpg,X1,50.7932,,CB,,,,,
MK Electro 012.jpg,X1,48.0304,,CB,,,,,
MK Electro 013.jpg,X1,71.5143,,CB,,,,,
MK Electro 014.jpg,X1,60.5693,,CB,,,,,
MK Electro 015.jpg,X1,47.3397,,CB,,,,,
MK Electro2 001.jpg,X1,43.8331,,CB,,,,,
MK Electro2 002.jpg,X1,72.6832,,CB,,,,,
MK Electro2 003.jpg,X1,55.9469,,CB,,,,,
MK Electro2 004.jpg,X1,77.9373,,CB,,,,,
MK Electro2 005.jpg,X1,45.5028,,CB,,,,,
MK Electro2 006.jpg,X1,41.2297,,CB,,,,,
MK Electro2 007.jpg,X1,50.6461,,CB,,,,,
MK Electro2 008.jpg,X1,50.5807,,CB,,,,,
MK Electro2 009.jpg,X1,50.8464,,CB,,,,,
MK Electro2 010.jpg,X1,54.9375,,CB,,,,,
MK Electro2 011.jpg,X1,58.0462,,CB,,,,,
MK Electro2 012.jpg,X1,44.8426,,CB,,,,,
MK Electro2 013.jpg,X1,37.0323,,CB,,,,,
MK Electro2 014.jpg,X1,61.7914,,CB,,,,,
MK Electro2 015.jpg,X1,51.909,,CB,,,,,
OB Electro 001.jpg,X1,43.3018,,CB,,,,,
OB Electro 002.jpg,X1,43.2985,,CB,,,,,
OB Electro 003.jpg,X1,47.3929,,CB,,,,,
OB Electro 004.jpg,X1,37.0854,,CB,,,,,
OB Electro 005.jpg,X1,36.1822,,CB,,,,,
OB Electro 006.jpg,X1,44.63,,CB,,,,,
OB Electro 007.jpg,X1,49.2524,,CB,,,,,
OB Electro 008.jpg,X1,46.3834,,CB,,,,,
OB Electro 009.jpg,X1,47.1803,,CB,,,,,
OB Electro 010.jpg,X1,42.6642,,CB,,,,,
OB Electro 011.jpg,X1,36.1291,,CB,,,,,
OB Electro 012.jpg,X1,37.5636,,CB,,,,,
OB Electro 013.jpg,X1,42.2923,,CB,,,,,
OB Electro 014.jpg,X1,41.1765,,CB,,,,,
OB Electro 015.jpg,X1,51.4308,,CB,,,,,
OB FN 001.jpg,X1,23.4308,,CB,,,,,
OB FN 002.jpg,X1,43.351,,CB,,,,,
OB FN 003.jpg,X1,48.7743,,CB,,,,,
OB FN 004.jpg,X1,21.7306,,CB,,,,,
OB FN 005.jpg,X1,54.7781,,CB,,,,,
OB FN 006.jpg,X1,45.7458,,CB,,,,,
OB FN 007.jpg,X1,42.5579,,CB,,,,,
OB FN 008.jpg,X1,26.9905,,CB,,,,,
OB FN 009.jpg,X1,30.4972,,CB,,,,,
OB FN 010.jpg,X1,32.6969,,CB,,,,,
OB FN 011.jpg,X1,58.9223,,CB,,,,,
OB FN 012.jpg,X1,26.2467,,CB,,,,,
OB FN 013.jpg,X1,22.6338,,CB,,,,,
OB FN 014.jpg,X1,29.2221,,CB,,,,,
OB FN 015.jpg,X1,44.63,,CB,,,,,
PP FN 001.jpg,X1,40.7455,,CB,,,,,
PP FN 002.jpg,X1,49.9119,,CB,,,,,
PP FN 003.jpg,X1,49.7529,,CB,,,,,
PP FN 004.jpg,X1,47.1567,,CB,,,,,
PP FN 005.jpg,X1,47.2626,,CB,,,,,
PP FN 006.jpg,X1,52.5611,,CB,,,,,
PP FN 007.jpg,X1,39.7387,,CB,,,,,
PP FN 008.jpg,X1,50.0708,,CB,,,,,
PP FN 009.jpg,X1,51.8723,,CB,,,,,
PP FN 010.jpg,X1,55.0514,,CB,,,,,
PP FN 011.jpg,X1,60.4559,,CB,,,,,
PP FN 012.jpg,X1,46.9447,,CB,,,,,
PP FN 013.jpg,X1,42.441,,CB,,,,,
PP FN 014.jpg,X1,31.738,,CB,,,,,
PP FN 015.jpg,X1,46.4678,,CB,,,,,
PP FN 016.jpg,X1,49.2231,,CB,,,,,
PP FN 017.jpg,X1,49.2761,,CB,,,,,
PP FN 018.jpg,X1,45.6731,,CB,,,,,
PP FN 019.jpg,X1,49.2231,,CB,,,,,
PP FN 020.jpg,X1,44.0835,,CB,,,,,
PP FN 021.jpg,X1,49.594,,CB,,,,,
PP FN 022.jpg,X1,55.5283,,CB,,,,,
PP FN 023.jpg,X1,55.9522,,CB,,,,,
PP FN 024.jpg,X1,49.488,,CB,,,,,
PP FN 025.jpg,X1,51.3425,,CB,,,,,
PP FN 026.jpg,X1,46.4678,,CB,,,,,
PP FN 027.jpg,X1,45.0902,,CB,,,,,
PP FN 028.jpg,X1,52.2432,,CB,,,,,
PP FN 029.jpg,X1,58.3895,,CB,,,,,
PP FN 030.jpg,X1,53.7798,,CB,,,,,
RB FN4 001.jpg,X1,30.6615,,CB,,,,,
RB FN4 002.jpg,X1,24.8723,,CB,,,,,
RB FN4(2) 001.jpg,X1,24.765,,CB,,,,,
RB FN4(2) 002.jpg,X1,25.1939,,CB,,,,,
RB FN4(2) 003.jpg,X1,29.911,,CB,,,,,
RB FN4(2) 004.jpg,X1,25.9443,,CB,,,,,
RB FN4(2) 005.jpg,X1,35.2178,,CB,,,,,
RB FN4(2) 006.jpg,X1,32.216,,CB,,,,,
RB FN4(2) 007.jpg,X1,37.4156,,CB,,,,,
RB FN4(2) 008.jpg,X1,27.2844,,CB,,,,,
RB FN4(2) 009.jpg,X1,27.9277,,CB,,,,,
RB FN4(2) 010.jpg,X1,29.5894,,CB,,,,,
RB FN4(2) 011.jpg,X1,28.1421,,CB,,,,,
RB FN4(2) 012.jpg,X1,23.7466,,CB,,,,,
RB FN4(2) 013.jpg,X1,36.1827,,CB,,,,,
RB FN5 001.jpg,X1,35.7539,,CB,,,,,
RB FN5 002.jpg,X1,44.9738,,CB,,,,,
RB FN5 003.jpg,X1,34.1994,,CB,,,,,
RB FN5 004.jpg,X1,38.4877,,CB,,,,,
RB FN5 005.jpg,X1,30.5007,,CB,,,,,
RB FN5 006.jpg,X1,32.8056,,CB,,,,,
RB FN5 007.jpg,X1,30.8759,,CB,,,,,
RB FN5 008.jpg,X1,30.3935,,CB,,,,,
RB FN5 009.jpg,X1,34.4674,,CB,,,,,
RB FN5 010.jpg,X1,39.9886,,CB,,,,,
RB FN5 011.jpg,X1,32.0016,,CB,,,,,
RB FN5 012.jpg,X1,35.9683,,CB,,,,,
RB FN5 013.jpg,X1,37.5228,,CB,,,,,
RB FN8 001.jpg,X1,34.5746,,CB,,,,,
RB FN8 002.jpg,X1,32.5376,,CB,,,,,
SQ FN 003.jpg,X1,53.6571,,CB,,,,,
SQ FN 004.jpg,X1,51.0916,,CB,,,,,
SQ FN 005.jpg,X1,38.7554,,CB,,,,,
SQ FN 006.jpg,X1,48.4715,,CB,,,,,
SQ FN 007.jpg,X1,49.454,,CB,,,,,
SQ FN 008.jpg,X1,48.2531,,CB,,,,,
SQ FN 009.jpg,X1,45.1964,,CB,,,,,
SQ FN 010.jpg,X1,51.9649,,CB,,,,,
SQ FN 011.jpg,X1,43.3951,,CB,,,,,
SQ FN 012.jpg,X1,51.2553,,CB,,,,,
SQ FN 013.jpg,X1,46.7793,,CB,,,,,
SQ FN 014.jpg,X1,48.6898,,CB,,,,,
SQ FN 015.jpg,X1,49.7815,,CB,,,,,
SQ FN 016.jpg,X1,47.216,,CB,,,,,
SQ FN 017.jpg,X1,43.9409,,CB,,,,,
SQ FN 018.jpg,X1,48.5807,,CB,,,,,
SQ FN 019.jpg,X1,57.2597,,CB,,,,,
SQ FN 020.jpg,X1,50.6549,,CB,,,,,
SQ FN 021.jpg,X1,51.8012,,CB,,,,,
SQ FN 022.jpg,X1,52.2924,,CB,,,,,
SQ FN 023.jpg,X1,49.6724,,CB,,,,,
SQ FN 024.jpg,X1,49.454,,CB,,,,,
SQ FN1 001.jpg,X1,15.9766,,CB,,,,,
SQ FN1 002.jpg,X1,18.3515,,CB,,,,,
SQ FN9 025.jpg,X1,68.457,,CB,,,,,
SQ FN9 026.jpg,X1,54.1238,,CB,,,,,
SQ FN9 027.jpg,X1,60.5416,,CB,,,,,
SQ FN9 028.jpg,X1,57.2792,,CB,,,,,
TW Electro 001.jpg,X1,44.8714,,CB,,,,,
TW Electro 002.jpg,X1,53.589,,CB,,,,,
TW Electro 003.jpg,X1,60.4881,,CB,,,,,
TW Electro 004.jpg,X1,53.9633,,CB,,,,,
TW Electro 005.jpg,X1,55.0865,,CB,,,,,
TW Electro 006.jpg,X1,55.5678,,CB,,,,,
TW Electro 007.jpg,X1,50.8614,,CB,,,,,
TW Electro 008.jpg,X1,40.5928,,CB,,,,,
TW Electro 009.jpg,X1,63.0553,,CB,,,,,
TW Electro 010.jpg,X1,66.2642,,CB,,,,,
TW Electro 011.jpg,X1,61.8252,,CB,,,,,
TW Electro 012.jpg,X1,58.5093,,CB,,,,,
TW Electro 013.jpg,X1,56.4235,,CB,,,,,
TW Electro 014.jpg,X1,52.7333,,CB,,,,,
TW Electro 015.jpg,X1,77.121,,CB,,,,,
TW FN 001.jpg,X1,19.3605,,CB,,,,,
TW FN 002.jpg,X1,29.736,,CB,,,,,
TW FN 003.jpg,X1,21.9276,,CB,,,,,
TW FN 004.jpg,X1,38.721,,CB,,,,,
TW FN 005.jpg,X1,32.9984,,CB,,,,,
TW FN 006.jpg,X1,21.9811,,CB,,,,,
TW FN 007.jpg,X1,24.0669,,CB,,,,,
TW FN 008.jpg,X1,27.7037,,CB,,,,,
TW FN 009.jpg,X1,45.0318,,CB,,,,,
TW FN 010.jpg,X1,52.7333,,CB,,,,,
TW FN 011.jpg,X1,30.2173,,CB,,,,,
TW FN 012.jpg,X1,66.799,,CB,,,,,
TW FN 013.jpg,X1,13.5844,,CB,,,,,
TW FN 014.jpg,X1,26.0457,,CB,,,,,
TW FN 015.jpg,X1,71.0241,,CB,,,,,
BA AN 001 07-13.jpg,Y1,70.3797,,CB,,,,,
BA AN 002 07-13.jpg,Y1,68.5428,,CB,,,,,
BA AN 003 07-13.jpg,Y1,74.6308,,CB,,,,,
BA AN 004 07-13.jpg,Y1,73.9485,,CB,,,,,
BA AN 005 07-13.jpg,Y1,73.1088,,CB,,,,,
BA AN 006 07-13.jpg,Y1,70.5372,,CB,,,,,
BA AN 007 07-13.jpg,Y1,70.6946,,CB,,,,,
BA AN 008 07-13.jpg,Y1,72.5315,,CB,,,,,
BA AN 009 07-13.jpg,Y1,75.1032,,CB,,,,,
BA AN 010 07-13.jpg,Y1,69.435,,CB,,,,,
BA AN 011 07-13.jpg,Y1,63.8193,,CB,,,,,
BA AN 012 07-13.jpg,Y1,75.2606,,CB,,,,,
BA AN 013 07-13.jpg,Y1,71.062,,CB,,,,,
BA AN 014 07-13.jpg,Y1,64.5541,,CB,,,,,
BA AN 015 07-13.jpg,Y1,73.9485,,CB,,,,,
BA FN4 001.jpg,Y1,72.479,,CB,,,,,
BA FN4 002.jpg,Y1,78.1472,,CB,,,,,
BA FN4 003.jpg,Y1,72.3741,,CB,,,,,
BA FN5 001 07-26.jpg,Y1,70.5896,,CB,,,,,
BA FN5 002 07-26.jpg,Y1,73.8961,,CB,,,,,
BA FN5 003 07-26.jpg,Y1,75.1032,,CB,,,,,
BA FN5 004 07-26.jpg,Y1,70.2747,,CB,,,,,
BA FN5 005 07-26.jpg,Y1,74.001,,CB,,,,,
BA FN5 006 07-26.jpg,Y1,71.6393,,CB,,,,,
BA FN5 007 07-26.jpg,Y1,76.2053,,CB,,,,,
BA FN5 008 07-26.jpg,Y1,64.1342,,CB,,,,,
BA FN8 001 07-16.jpg,Y1,71.9017,,CB,,,,,
BA FN8 002 07-16.jpg,Y1,75.0507,,CB,,,,,
BA FN8 003 07-16.jpg,Y1,79.5117,,CB,,,,,
BA FN8 004 07-16.jpg,Y1,69.0151,,CB,,,,,
BH Electro 003 06-06.jpg,Y1,69.435,,CB,,,,,
BH Electro 004 06-06.jpg,Y1,74.211,,CB,,,,,
BH Electro 005 06-06.jpg,Y1,73.2663,,CB,,,,,
BH Electro 006 06-06.jpg,Y1,76.0479,,CB,,,,,
BH Electro 007 06-06.jpg,Y1,72.1641,,CB,,,,,
BH Electro 008 06-06.jpg,Y1,72.0592,,CB,,,,,
BH FN 001 06-06.jpg,Y1,77.8848,,CB,,,,,
BH FN 002 06-06.jpg,Y1,69.8024,,CB,,,,,
BH FN1 001 06-28.jpg,Y1,71.2194,,CB,,,,,
BH FN1 002 06-28.jpg,Y1,67.4407,,CB,,,,,
BH FN1 003 06-28.jpg,Y1,70.957,,CB,,,,,
BH FN1 004 06-28.jpg,Y1,63.5044,,CB,,,,,
BH FN3 001 06-28.jpg,Y1,76.9401,,CB,,,,,
BH FN3 002 06-28.jpg,Y1,68.9102,,CB,,,,,
BH FN3 003 06-28.jpg,Y1,68.7527,,CB,,,,,
BH FN3 004 06-28.jpg,Y1,68.9102,,CB,,,,,
BH FN3 005 06-28.jpg,Y1,73.2138,,CB,,,,,
