imageID,fishID,lakeID,basin,DOC,DOCbin,PecFinLengths,baseWidth,fishStdLength,finLengthSS,finBaseSS,lakeSlope,bylake_finlengthSS,bylake_finwidthSS,ss_ratio,fitted_PL,fitted_PW,fitted_PR
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN1 06-28 001,BH FN1 06-28 001.jpg,Birch,7,10.9,high,32.24011225,5.481178143,104.4777353,35.44405988,6.065659955,0.94822,36.99058013,19.06563985,5.843397115,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN1 06-28 004,BH FN1 06-28 004.jpg,Birch,7,10.9,high,25.06175913,5.077679743,94.57598275,29.40505365,6.023556436,0.94822,31.6016617,14.6068806,4.881676459,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN3  06-28 008,BH FN3  06-28 008.jpg,Birch,7,10.9,high,31.06418266,4.871948665,103.6027272,34.33951514,5.423208913,0.94822,35.92675242,13.44655696,6.331955064,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN3 06-28 002,BH FN3 06-28 002.jpg,Birch,7,10.9,high,37.86654118,6.42179608,133.4540728,35.47477893,5.990424679,0.94822,34.44663356,14.84792372,5.921913859,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN3 06-28 003,BH FN3 06-28 003.jpg,Birch,7,10.9,high,34.09822872,5.582737456,119.4291849,34.34893808,5.62738745,0.94822,34.46255157,14.86840535,6.103887174,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN3 06-28 004,BH FN3 06-28 004.jpg,Birch,7,10.9,high,29.58728956,5.081645132,108.5629284,31.72229338,5.47496481,0.94822,32.73441023,15.24262835,5.794063429,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN4 06-28 002,BH FN4 06-28 002.jpg,Birch,7,10.9,high,32.8336731,5.744985231,115.7234563,33.76355201,5.919751853,0.94822,34.19127777,17.18071332,5.703541779,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN4 06-28 003,BH FN4 06-28 003.jpg,Birch,7,10.9,high,37.25327689,6.829741347,124.1472765,36.58878963,6.700679003,0.94822,36.29314881,14.78357757,5.460459994,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH FN4 06-28 004,BH FN4 06-28 004.jpg,Birch,7,10.9,high,30.87785846,5.841960199,112.4844431,32.34700013,6.140147092,0.94822,33.03190151,17.36449915,5.268114858,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH shock 06-06 003,BH shock 06-06 003.jpg,Birch,7,10.9,high,41.61090476,7.841423076,140.5547633,37.68393655,7.054746292,0.94822,36.03714124,20.30751902,5.341643057,33.48454,1.825786,1.701335
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BH shock 06-06 007,BH shock 06-06 007.jpg,Birch,7,10.9,high,39.53833771,8.525814385,151.2067722,34.13749443,7.289166426,0.94822,31.95057368,16.29964875,4.683319386,33.48454,1.825786,1.701335
