1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
RS FN5 07-21 002.jpg,32.99700,66.81890 ,46.98770,64.14620 ,67.47890,56.78780 ,38.07850,58.10770 ,30.55520,61.60540 
RS FN8 07-20 001.jpg,27.68450,62.72730 ,40.35530,67.57790 ,66.91790,77.24600 ,42.00520,58.73470 ,27.88250,56.19390 
RS FN8 07-20 002.jpg,33.06300,78.30190 ,54.28010,63.38720 ,65.73000,55.50100 ,31.94110,67.64390 ,28.74040,72.65940 
SQ FN3 06-13 001.jpg,19.23730,68.60080 ,36.03270,71.20750 ,63.15630,66.71990 ,26.33160,55.23700 ,18.11540,58.99860 
SQ FN3 06-13 002.jpg,24.35180,67.77580 ,41.18030,67.51190 ,68.00680,63.48620 ,31.54510,55.33600 ,21.81100,58.76770 
SQ FN9 06-20 003.jpg,32.53500,66.58790 ,41.80720,68.83170 ,60.05450,72.72540 ,41.97220,61.20940 ,33.68990,61.50640 
SQ FN9 06-20 004.jpg,29.43330,64.34420 ,38.14450,65.86200 ,59.59260,68.13880 ,40.48730,59.16360 ,29.73030,58.73470 
SQ FN9 06-20 005.jpg,31.80910,69.62370 ,51.87130,66.32400 ,62.59530,62.43030 ,39.56340,59.52660 ,30.39020,63.55220 
SQ FN9 06-20 008.jpg,25.77070,66.88490 ,37.22060,68.13880 ,58.20670,64.87210 ,36.89060,58.43770 ,26.16660,60.54950 
SQ FN9 06-20 011.jpg,28.41040,67.51190 ,41.01530,68.17180 ,63.42020,65.23510 ,35.40580,58.83370 ,28.47640,60.51650 
SQ FN9 06-20 012.jpg,28.80640,66.15900 ,40.88330,67.57790 ,62.10040,68.56780 ,34.11890,59.52660 ,27.71750,60.12050 
SQ FN9 06-20 014.jpg,31.24820,68.17180 ,44.97490,68.10580 ,61.47340,64.50910 ,38.70550,59.16360 ,30.09330,61.17640 
SQ FN9 06-20 017.jpg,30.42320,65.89500 ,41.11430,68.79870 ,60.97850,67.90780 ,39.53040,59.49360 ,30.81920,59.69160 
SQ FN9 06-20 020.jpg,27.91550,69.42570 ,48.96750,68.10580 ,58.33870,66.15900 ,33.45900,61.40740 ,26.76060,63.58520 
SQ FN9 06-20 021.jpg,30.62120,66.52200 ,40.94930,67.14890 ,58.70170,64.57510 ,38.44150,60.35150 ,30.88520,61.53940 
SQ FN9 06-20 022.jpg,31.51210,63.65120 ,49.09950,67.04990 ,57.41480,64.74010 ,42.86310,58.37170 ,32.96400,58.96560 
SQ FN9 06-20 024.jpg,31.11620,64.90510 ,48.70360,68.30380 ,57.51380,68.27080 ,38.47450,59.19660 ,32.04010,59.82360 
TO FN1 06-05 001.jpg,18.78290,65.25800 ,32.24670,68.98130 ,61.53460,71.34160 ,32.94480,53.95500 ,18.71640,56.01610 
TO FN1 06-05 003.jpg,21.01910,66.48900 ,48.50560,69.55770 ,65.03710,71.10850 ,30.68720,55.92990 ,24.21980,58.07470 
TO FN1 06-05 004.jpg,28.77340,66.02700 ,39.33240,67.80880 ,63.02430,68.17180 ,35.30680,59.82360 ,30.48920,60.18650 
TO FN1 06-05 006.jpg,19.86420,66.81890 ,36.89060,70.48160 ,64.08020,70.34960 ,34.61390,54.31310 ,22.47100,57.84370 
TO FN1 06-05 007.jpg,24.08780,66.22500 ,38.96950,68.30380 ,69.09570,67.21490 ,33.75590,55.73190 ,24.91270,58.23970 
TO FN1 06-05 008.jpg,27.58550,70.48160 ,53.25720,65.79600 ,63.75020,63.28820 ,37.02260,59.55960 ,26.49660,63.91520 
TO FN1 06-05 010.jpg,27.38750,62.72730 ,37.05560,66.52200 ,54.28010,71.50450 ,39.39840,60.71450 ,29.86230,58.17370 
TO FN1 06-05 012.jpg,31.14920,67.90780 ,45.33790,69.06270 ,52.43220,68.60080 ,40.48730,62.66130 ,32.04010,64.08020 
TO FN1 06-05 013.jpg,25.63870,66.06000 ,41.67520,68.53480 ,72.29640,72.19740 ,37.94650,54.24710 ,24.12080,57.90970 
TO FN1 06-05 014.jpg,24.51680,67.51190 ,37.48460,68.79870 ,59.03160,68.10580 ,29.89530,59.92260 ,23.85680,60.48350 
TO shock 07-18 002.jpg,28.83940,65.43310 ,47.64770,68.07280 ,56.75480,65.96100 ,32.53500,59.36160 ,28.31140,59.85660 
TO shock 07-18 006.jpg,34.18490,67.18190 ,43.25910,67.14890 ,58.50370,62.72730 ,37.02260,61.40740 ,32.53500,62.95830 
TO shock 07-18 008.jpg,29.79630,68.07280 ,41.44420,67.67680 ,62.92530,63.55220 ,35.40580,60.45050 ,29.89530,62.03440 
TO shock 07-18 010.jpg,33.03000,65.86200 ,51.34330,63.38720 ,55.13800,61.01150 ,36.49470,61.50640 ,32.30410,62.66130 
TO shock 07-18 012.jpg,32.20510,68.00680 ,41.77420,68.17180 ,60.71450,64.27820 ,40.75130,59.75760 ,30.48920,64.01420 
TO shock 07-18 013.jpg,35.30680,69.35970 ,51.31030,66.71990 ,56.58990,63.45320 ,40.94930,60.84650 ,33.88790,64.90510 
