imageID	lakeID	lakeDOC	DOCrange	DOC	captureMethod	Sex	Basin
CR_FN1_012.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN1_013.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN1_014.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN1_015.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN7_001.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN7_002.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN7_003.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN7_004.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_001.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_002.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_003.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_004.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN9_005.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN9_006.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN9_007.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	M	4
CR_FN9_008.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_009.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
CR_FN9_010.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	U	4
CR_FN9_011.jpg	Crampton	5	5.0-10.0	low	Fyke_Net	F	4
FD_Electro_001.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_002.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_003.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_004.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_005.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_006.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_007.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_008.jpg	Found	6.21	5.0-10.0	low	Electrofishing	M	7
